,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
977,2309127,0:06,1,42,0,1,5,0,3,1,0,-1,N56,2058-04,2,0,0,1,0,0,0,0
982,2309128,0:10,1,48,1,1,0,0,5,0,0,-1,N08,2036-10,2,0,0,1,0,0,0,0
990,2309133,0:06,1,44,1,1,0,0,5,0,0,-1,N56,2050-11,3,0,0,0,1,0,0,0
1001,2309134,0:09,1,40,0,1,10,0,5,1,0,-1,N88,2056-10,2,1,0,1,0,0,0,0
1002,2309139,0:05,1,45,1,1,0,0,5,0,0,-1,N56,2052-12,1,0,1,0,0,0,0,0
1004,2309140,0:12,1,49,1,1,0,0,5,0,0,-1,N65,2036-03,2,0,0,1,0,0,0,0
1014,2309141,0:06,1,29,1,1,8,0,5,0,0,-1,N75,2074-11,2,1,0,1,0,0,0,0
1016,2309147,0:04,1,52,1,3,0,0,5,0,0,-1,N56,2049-08,2,0,0,1,0,0,0,0
1019,2309150,0:05,1,47,1,1,2,0,2,0,0,-1,N61,2049-04,2,0,0,1,0,0,0,0
1021,2309151,0:04,1,59,1,3,0,0,5,0,0,-1,0,-1,2,0,0,1,0,0,0,0
1025,2309152,0:04,1,37,1,1,5,0,5,0,0,-1,N78,2058-08,2,0,0,1,0,0,0,0
1034,2309154,0:05,1,27,1,1,9,0,5,0,0,-1,0,-1,2,1,0,1,0,0,0,0
1036,2309155,0:04,1,57,1,1,0,0,5,0,0,-1,0,-1,4,0,0,0,0,1,0,0
1039,2309158,0:13,1,56,1,1,2,0,5,0,0,-1,N56,2036-04,5,0,0,0,0,0,1,0
1046,2309159,0:08,1,56,1,1,0,0,5,0,0,-1,N78,2038-10,5,0,0,0,0,0,1,0
1053,2309160,0:06,1,33,1,1,5,0,3,0,0,-1,N56,2069-06,5,0,0,0,0,0,1,0
